index,x_pos,y_pos,z_pos,w_or,x_or,y_or,z_or,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,x_lin_acc,y_lin_acc,z_lin_acc,x_ang_acc,y_ang_acc,z_ang_acc
3.7799999999999634,379.6664733886719,-4.825019836425781,-269.59967041015625,0.021430600434541702,0.04470852017402649,0.01088083628565073,0.9987109303474426,-11.220223426818848,0.6828230023384094,-0.09363261610269547,0.02209044247865677,0.010898078791797161,0.031482551246881485,-0.08530974388122559,-0.22764062881469727,0.030666351318359375,0.025340760126709938,-0.012285980395972729,-0.02055678702890873
3.789999999999963,379.4981689453125,-4.814802646636963,-269.6010437011719,0.021187709644436836,0.04463369399309158,0.011037591844797134,0.9987177848815918,-11.221491813659668,0.6793863773345947,-0.09317316859960556,0.022319119423627853,0.01071039866656065,0.031162625178694725,-0.08375167846679688,-0.23059174418449402,0.029754638671875,0.123897023499012,-0.012642445042729378,-0.017657941207289696
3.799999999999963,379.02691650390625,-4.786473274230957,-269.6048889160156,0.020519496873021126,0.04443155974149704,0.011472451500594616,0.998735785484314,-11.224916458129883,0.6695257425308228,-0.09193329513072968,0.020222241058945656,0.010174536146223545,0.030377905815839767,-0.07944917678833008,-0.2388177216053009,0.028337478637695312,0.026582956314086914,-0.012403259985148907,-0.014898126944899559
3.8099999999999627,378.1172790527344,-4.733039855957031,-269.6123046875,0.01927734538912773,0.04407015070319176,0.012206831946969032,0.9987678527832031,-11.23102855682373,0.6496139168739319,-0.08969545364379883,0.01724860817193985,0.009176956489682198,0.029179302975535393,-0.07167613506317139,-0.2526085674762726,0.0261993408203125,-0.04028896242380142,-0.012060184963047504,-0.01100674644112587
3.8199999999999625,377.2074279785156,-4.68126106262207,-269.6197204589844,0.018080100417137146,0.0437450148165226,0.01282540149986744,0.998796820640564,-11.236542701721191,0.628675103187561,-0.08764318376779556,0.015876522287726402,0.008241630159318447,0.028401819989085197,-0.06454920768737793,-0.2640551030635834,0.025150299072265625,-0.18491967022418976,-0.011351280845701694,-0.011057328432798386
3.8299999999999623,375.7236633300781,-4.600619792938232,-269.6309509277344,0.016188429668545723,0.04328684136271477,0.013611836358904839,0.9988387823104858,-11.244392395019531,0.5928030014038086,-0.08461835980415344,0.010204914025962353,0.006885329727083445,0.02772156521677971,-0.0545615553855896,-0.278506875038147,0.02178955078125,-0.05641507729887962,-0.009609496220946312,-0.004044697154313326
3.839999999999962,374.34002685546875,-4.529834747314453,-269.6409606933594,0.014466301538050175,0.04292990267276764,0.01411558035761118,0.9988736510276794,-11.250602722167969,0.5579642653465271,-0.08208727091550827,0.007893670350313187,0.005813744384795427,0.02735321968793869,-0.04662042856216431,-0.28734689950942993,0.01948070526123047,-0.059028156101703644,-0.008256552740931511,-0.0023779224138706923
3.849999999999962,372.82098388671875,-4.457145690917969,-269.6519470214844,0.012617070227861404,0.04260385036468506,0.014438586309552193,0.9989081025123596,-11.256377220153809,0.5187720060348511,-0.07955540716648102,0.004126878920942545,0.004826556425541639,0.026779962703585625,-0.03920614719390869,-0.2925446331501007,0.017676353454589844,0.039879657328128815,-0.006217080168426037,-0.004742545075714588
3.8599999999999617,371.5710144042969,-4.401366233825684,-269.6609802246094,0.011143641546368599,0.042378686368465424,0.01454263273626566,0.9989336133003235,-11.26042652130127,0.4862130880355835,-0.07761548459529877,0.0014966923044994473,0.004151315428316593,0.02593052200973034,-0.03393739461898804,-0.293609082698822,0.01709747314453125,-0.008400771766901016,-0.005389421246945858,-0.009981388226151466
3.8699999999999615,370.0845642089844,-4.339739799499512,-269.67120361328125,0.009473864920437336,0.04215226694941521,0.014509367756545544,0.9989609718322754,-11.264548301696777,0.4475383460521698,-0.07545820623636246,-0.0012690186267718673,0.0034834418911486864,0.024480342864990234,-0.02862858772277832,-0.291839599609375,0.015654563903808594,-0.016263771802186966,-0.004491213709115982,-0.012049044482409954
3.8799999999999613,368.59722900390625,-4.283194541931152,-269.68060302734375,0.007921168580651283,0.041962385177612305,0.014316475950181484,0.9989852905273438,-11.268017768859863,0.4093109369277954,-0.07343382388353348,-0.00398203544318676,0.002941382583230734,0.02263297513127327,-0.024094581604003906,-0.2869892418384552,0.014636039733886719,0.0200998242944479,-0.0037511016707867384,-0.014052290469408035
3.889999999999961,367.98858642578125,-4.261507987976074,-269.6844482421875,0.007324057165533304,0.04189362749457359,0.014203076250851154,0.9989942908287048,-11.26927375793457,0.393886923789978,-0.07264530658721924,-0.0042016711086034775,0.0027440590783953667,0.02182537131011486,-0.022375285625457764,-0.2842949628829956,0.015038490295410156,-0.1279747039079666,-0.0032661892473697662,-0.017825430259108543
3.899999999999961,366.53460693359375,-4.213040351867676,-269.6936340332031,0.00599317392334342,0.04174711927771568,0.013838869519531727,0.9990143775939941,-11.271933555603027,0.3577120304107666,-0.07083269208669662,-0.005641582887619734,0.0023378378245979548,0.01980113610625267,-0.01890021562576294,-0.2762128710746765,0.013378143310546875,0.05254516750574112,-0.0028345247264951468,-0.014692903496325016
3.9099999999999606,365.38494873046875,-4.177977085113525,-269.7008972167969,0.005035421345382929,0.041646890342235565,0.013489309698343277,0.9990286827087402,-11.273733139038086,0.32991424202919006,-0.06948158890008926,-0.006404580548405647,0.0020589111372828484,0.01823948509991169,-0.016412079334259033,-0.2686164975166321,0.013403892517089844,-0.11322831362485886,-0.0024791595060378313,-0.017131540924310684
3.9199999999999604,363.93096923828125,-4.13762092590332,-269.7100830078125,0.003939232788980007,0.04153699055314064,0.012968377210199833,0.9990450739860535,-11.275679588317871,0.29595673084259033,-0.06786922365427017,-0.008359294384717941,0.0017540244152769446,0.016365468502044678,-0.013794660568237305,-0.2576248049736023,0.011990547180175781,-0.010433520190417767,-0.0019483667565509677,-0.013544587418437004
3.92999999999996,363.4912414550781,-4.126273155212402,-269.7128601074219,0.003631566185504198,0.04150701314210892,0.012798438780009747,0.9990496635437012,-11.276203155517578,0.2859799861907959,-0.06740681827068329,-0.007884571328759193,0.001675934880040586,0.01584651879966259,-0.013040363788604736,-0.25402596592903137,0.012078285217285156,-0.07140907645225525,-0.002032232703641057,-0.014671802520751953
3.93999999999996,362.71282958984375,-4.107140064239502,-269.7177734375,0.003112659091129899,0.041457369923591614,0.012480036355555058,0.9990575313568115,-11.277063369750977,0.26867660880088806,-0.06660435348749161,-0.009252202697098255,0.0015418914845213294,0.014926211908459663,-0.011854112148284912,-0.24742041528224945,0.011456489562988281,-0.03626564145088196,-0.0016859180759638548,-0.013235729187726974
3.9499999999999598,361.2913818359375,-4.075216293334961,-269.72589111328125,0.0022458424791693687,0.04137676581740379,0.011858279816806316,0.9990707635879517,-11.27842903137207,0.23830582201480865,-0.06522613763809204,-0.009653039276599884,0.0013202985282987356,0.013368702493607998,-0.009938418865203857,-0.23456335067749023,0.010338783264160156,-0.00875158328562975,-0.0016928109107539058,-0.01092746201902628
3.9599999999999596,360.68218994140625,-4.062686920166016,-269.72918701171875,0.0019044323125854135,0.041345808655023575,0.0115757891908288,0.9990760684013367,-11.278943061828613,0.22579483687877655,-0.06466734409332275,-0.010028696618974209,0.0012414007214829326,0.012734780088067055,-0.009180545806884766,-0.2287602722644806,0.010186195373535156,0.010205850005149841,-0.0014361765934154391,-0.011684603989124298
3.9699999999999593,359.59918212890625,-4.042048454284668,-269.73504638671875,0.0013389521045610309,0.04129546880722046,0.011064846999943256,0.9990848302841187,-11.279767036437988,0.20433107018470764,-0.06372303515672684,-0.010749129578471184,0.001105117378756404,0.011659095995128155,-0.007994532585144043,-0.2183157205581665,0.009415626525878906,0.006062704604119062,-0.001133618294261396,-0.010362440720200539
3.979999999999959,358.448486328125,-4.022322177886963,-269.74127197265625,0.0007941582007333636,0.041248004883527756,0.010502527467906475,0.9990934133529663,-11.280524253845215,0.18264470994472504,-0.06278934329748154,-0.010564805008471012,0.0009790409822016954,0.010576828382909298,-0.006883502006530762,-0.20685294270515442,0.008657455444335938,0.03782197833061218,-0.0014400549698621035,-0.009521451778709888
3.989999999999959,357.43316650390625,-4.00670862197876,-269.74676513671875,0.0003589903353713453,0.041210804134607315,0.009998209774494171,0.999100387096405,-11.28110122680664,0.16448581218719482,-0.06202372908592224,-0.010610672645270824,0.0008746052044443786,0.009658853523433208,-0.006011307239532471,-0.1966153383255005,0.008136749267578125,0.015866156667470932,-0.0013049909612163901,-0.009657480753958225
3.9999999999999587,355.94403076171875,-3.9866652488708496,-269.75482177734375,-0.00020523491548374295,0.04116323962807655,0.009248737245798111,0.9991096258163452,-11.281820297241211,0.13952888548374176,-0.06099727004766464,-0.011011923663318157,0.0007417444139719009,0.008358737453818321,-0.004908263683319092,-0.18147629499435425,0.007420539855957031,-0.006053867284208536,-0.0008130642236210406,-0.01009693369269371
4.009999999999959,354.45489501953125,-3.969784736633301,-269.76287841796875,-0.0006858526030555367,0.041123002767562866,0.00849762000143528,0.9991177916526794,-11.2824068069458,0.11656907945871353,-0.060082774609327316,-0.011084436438977718,0.0006291661993600428,0.007121643982827663,-0.004015147686004639,-0.1663690209388733,0.006463050842285156,0.023833468556404114,-0.0009418820845894516,-0.008812653832137585
4.019999999999959,353.033447265625,-3.9563794136047363,-269.77056884765625,-0.0010703454026952386,0.04109059274196625,0.007787581533193588,0.9991245269775391,-11.282865524291992,0.0965050533413887,-0.059310268610715866,-0.01110114250332117,0.0005336046451702714,0.005999926012009382,-0.00330197811126709,-0.15213726460933685,0.005740165710449219,0.0068210759200155735,-0.0005409270524978638,-0.0085226371884346
4.0299999999999585,351.47662353515625,-3.9444615840911865,-269.77899169921875,-0.0014137007528916001,0.0410606823861599,0.00702541321516037,0.9991309642791748,-11.283275604248047,0.07656730711460114,-0.058570995926856995,-0.010535634122788906,0.00044526602141559124,0.004863160662353039,-0.0026627182960510254,-0.13689976930618286,0.004978179931640625,-0.003784292144700885,-0.0003188200353179127,-0.00788903795182705
4.039999999999958,350.9012756347656,-3.940732002258301,-269.7821044921875,-0.0015214465092867613,0.04105093330144882,0.006749073043465614,0.9991331100463867,-11.283405303955078,0.0697256401181221,-0.05832400918006897,-0.010580958798527718,0.0004147016443312168,0.004466537851840258,-0.0024605393409729004,-0.13139668107032776,0.004695892333984375,0.0060419319197535515,-0.0006116569857113063,-0.007517289370298386
4.049999999999958,349.4121398925781,-3.9326319694519043,-269.7901611328125,-0.0017562202410772443,0.04102868586778641,0.006052667275071144,0.9991381168365479,-11.283699035644531,0.053302228450775146,-0.05774817615747452,-0.010091437958180904,0.00034937355667352676,0.0035217341501265764,-0.0020078420639038086,-0.11747132986783981,0.004014015197753906,0.00915523897856474,-0.0007414729916490614,-0.0065259672701358795
4.059999999999958,348.22760009765625,-3.9276630878448486,-269.79656982421875,-0.0019013737328350544,0.04101372882723808,0.0055197919718921185,0.9991415739059448,-11.283894538879395,0.041525598615407944,-0.0573500394821167,-0.00990438461303711,0.0003007823834195733,0.002844459842890501,-0.001709282398223877,-0.10691224783658981,0.0035419464111328125,0.002681823680177331,-0.0004305767943151295,-0.005996139720082283
4.069999999999958,346.80615234375,-3.9232466220855713,-269.80426025390625,-0.002032192423939705,0.04099854826927185,0.004906287882477045,0.9991451501846313,-11.284092903137207,0.0288259107619524,-0.056936610490083694,-0.009330062195658684,0.00025165211991406977,0.0021159916650503874,-0.0014157295227050781,-0.09477369487285614,0.0030202865600585938,0.009448540396988392,-0.0003930049133487046,-0.005303260870277882
4.079999999999957,345.6216125488281,-3.920724391937256,-269.8106689453125,-0.002109089633449912,0.04098784178495407,0.004420190583914518,0.9991476535797119,-11.284226417541504,0.01938161812722683,-0.05664006620645523,-0.00899091549217701,0.00021501204173546284,0.0015763092087581754,-0.0012171268463134766,-0.08517991006374359,0.0026178359985351562,0.009448720142245293,-0.0003284494741819799,-0.0047186329029500484
4.089999999999957,344.8770446777344,-3.9196267127990723,-269.814697265625,-0.002144022611901164,0.040981899946928024,0.004126578103750944,0.9991490840911865,-11.284309387207031,0.01395127922296524,-0.05647420510649681,-0.008710937574505806,0.000196986467926763,0.0012678855564445257,-0.0011061429977416992,-0.07939157634973526,0.0024051666259765625,0.009373423643410206,-0.00029214308597147465,-0.00453863525763154
4.099999999999957,343.3879089355469,-3.9184441566467285,-269.82275390625,-0.0021859274711459875,0.04097176715731621,0.0035682765301316977,0.9991515874862671,-11.284435272216797,0.004205852281302214,-0.05618537217378616,-0.008128507062792778,0.00015585355868097395,0.0007083503296598792,-0.0009281635284423828,-0.0684024840593338,0.0019884109497070312,-0.0032015133183449507,-5.734443402616307e-05,-0.003973056562244892
4.109999999999957,342.13568115234375,-3.9183809757232666,-269.82952880859375,-0.0021955741103738546,0.04096465930342674,0.003128207055851817,0.9991532564163208,-11.284541130065918,-0.002902048407122493,-0.05598169192671776,-0.007687144912779331,0.00013714948727283627,0.0002963085426017642,-0.0008037090301513672,-0.05976012349128723,0.0016927719116210938,0.007693100720643997,8.306572999572381e-05,-0.0035227707121521235
4.119999999999957,340.64654541015625,-3.919255256652832,-269.8364562988281,-0.002180726733058691,0.04095764085650444,0.0026419218629598618,0.9991550445556641,-11.284627914428711,-0.010152614675462246,-0.05578009784221649,-0.00704520009458065,0.00010704394662752748,-0.0001320783921983093,-0.0006896853446960449,-0.050225045531988144,0.0013713836669921875,0.005897346884012222,-0.00013999830116517842,-0.0029446547850966454
4.129999999999956,339.29278564453125,-3.9208157062530518,-269.8425598144531,-0.0021458491683006287,0.04095259681344032,0.0022345802281051874,0.9991562962532043,-11.284704208374023,-0.015695201233029366,-0.055630091577768326,-0.006583711132407188,9.234395110979676e-05,-0.0004661833227146417,-0.0006081461906433105,-0.042257584631443024,0.0011386871337890625,0.001990944379940629,-0.0001861668424680829,-0.002643334213644266
4.139999999999956,337.93902587890625,-3.922985076904297,-269.8486633300781,-0.0020935707725584507,0.04094821587204933,0.0018589554820209742,0.9991573691368103,-11.284780502319336,-0.020319586619734764,-0.055506039410829544,-0.006018401589244604,8.283549686893821e-05,-0.0007553158211521804,-0.0005369186401367188,-0.03492259234189987,0.0009374618530273438,0.006114662159234285,0.00013398622104432434,-0.0021677324548363686
4.149999999999956,336.58526611328125,-3.925658702850342,-269.8547668457031,-0.002026690635830164,0.04094412550330162,0.001515863579697907,0.9991582632064819,-11.284852027893066,-0.024103013798594475,-0.05540341138839722,-0.005457570776343346,7.563196413684636e-05,-0.000996868242509663,-0.00047022104263305664,-0.028236404061317444,0.000774383544921875,0.0032945959828794003,-0.0001765112829161808,-0.001820749486796558
4.159999999999956,335.4345703125,-3.9282548427581787,-269.8599548339844,-0.001960352063179016,0.04094143584370613,0.0012487716739997268,0.9991588592529297,-11.284884452819824,-0.026714691892266273,-0.055331990122795105,-0.005076093599200249,5.241265898803249e-05,-0.0011688460363075137,-0.00043141841888427734,-0.0230442825704813,0.0006361007690429688,-0.0004699559067375958,-0.0002835382183548063,-0.001662921393290162
4.1699999999999555,335.4345703125,-3.9282548427581787,-269.8599548339844,-0.001960352063179016,0.04094143584370613,0.0012487716739997268,0.9991588592529297,-11.284884452819824,-0.026714691892266273,-0.055331990122795105,-0.005076093599200249,5.241265898803249e-05,-0.0011688460363075137,-0.00043141841888427734,-0.0230442825704813,0.0006361007690429688,-0.0004699559067375958,-0.0002835382183548063,-0.001662921393290162
4.179999999999955,335.4345703125,-3.9282548427581787,-269.8599548339844,-0.001960352063179016,0.04094143584370613,0.0012487716739997268,0.9991588592529297,-11.284884452819824,-0.026714691892266273,-0.055331990122795105,-0.005076093599200249,5.241265898803249e-05,-0.0011688460363075137,-0.00043141841888427734,-0.0230442825704813,0.0006361007690429688,-0.0004699559067375958,-0.0002835382183548063,-0.001662921393290162
4.189999999999955,334.8592224121094,-3.9296462535858154,-269.862548828125,-0.0019244244322180748,0.04094040021300316,0.001123344642110169,0.9991590976715088,-11.284900665283203,-0.027827538549900055,-0.05530116707086563,-0.004952469374984503,4.3870899389730766e-05,-0.0012444468447938561,-0.00041741132736206055,-0.020611751824617386,0.0005731582641601562,0.00404393719509244,-0.00023883511312305927,-0.0014364689122885466
4.199999999999955,334.7238464355469,-3.9299817085266113,-269.8631591796875,-0.00191571528557688,0.040940187871456146,0.001094331732019782,0.9991591572761536,-11.284904479980469,-0.028071479871869087,-0.055294349789619446,-0.004801445174962282,4.3695486965589225e-05,-0.001259820768609643,-0.00041472911834716797,-0.02004612796008587,0.0005645751953125,0.0126726683229208,1.3111989574099425e-05,-0.0013250673655420542
4.209999999999955,333.539306640625,-3.9330310821533203,-269.8684997558594,-0.0018362138653174043,0.04093858599662781,0.0008562074508517981,0.9991596341133118,-11.284937858581543,-0.029930176213383675,-0.05524055287241936,-0.004386161454021931,3.580148404580541e-05,-0.0013892743736505508,-0.0003935098648071289,-0.015430496074259281,0.00046253204345703125,-0.0049483939073979855,3.536171789164655e-05,-0.001239498727954924
4.2199999999999545,332.7608947753906,-3.935131072998047,-269.87200927734375,-0.0017809997079893947,0.04093771427869797,0.0007109199650585651,0.9991598725318909,-11.28495979309082,-0.030896587297320366,-0.05521036311984062,-0.004086126573383808,3.233283496228978e-05,-0.0014604800380766392,-0.0003822445869445801,-0.012619102373719215,0.0004100799560546875,0.0019466072553768754,9.085585770662874e-05,-0.0009553862037137151
4.229999999999954,331.5425109863281,-3.9385335445404053,-269.87750244140625,-0.0016910048434510827,0.04093648120760918,0.0005023179692216218,0.9991602301597595,-11.284994125366211,-0.03203819692134857,-0.05517002195119858,-0.0036905906163156033,2.5155650291708298e-05,-0.0015489667421206832,-0.000364840030670166,-0.00859179999679327,0.000339508056640625,0.0038931637536734343,-9.840210259426385e-05,-0.0006697094067931175
4.239999999999954,330.2564392089844,-3.942233085632324,-269.88330078125,-0.0015925501938909292,0.04093536362051964,0.00030550468363799155,0.9991604685783386,-11.285030364990234,-0.032797470688819885,-0.05513472482562065,-0.0033508730120956898,2.3579697881359607e-05,-0.001615089364349842,-0.0003489255905151367,-0.004803863354027271,0.0002841949462890625,0.004234586842358112,0.00019412240362726152,-0.0005403068498708308
4.249999999999954,328.86883544921875,-3.946294069290161,-269.8895568847656,-0.0014839231735095382,0.04093434289097786,0.00011841268860734999,0.9991607666015625,-11.285069465637207,-0.033162303268909454,-0.05510376766324043,-0.0028972988948225975,2.3264219635166228e-05,-0.0016607536235824227,-0.0003326535224914551,-0.0012114825658500195,0.0002269744873046875,0.009542188607156277,0.00022693115170113742,-6.704390398226678e-05
4.259999999999954,327.1766357421875,-3.951268196105957,-269.8971862792969,-0.0013502435758709908,0.04093300551176071,-7.646034646313637e-05,0.9991610050201416,-11.285117149353027,-0.0330563560128212,-0.05507339909672737,-0.002421541139483452,2.1771458705188707e-05,-0.0016836063005030155,-0.00030863285064697266,0.0025144913233816624,0.000179290771484375,0.0019510320853441954,-0.00010735684190876782,-8.661230822326615e-05
4.269999999999953,325.0106201171875,-3.9575440883636475,-269.9069519042969,-0.0011804878013208508,0.040931396186351776,-0.00027689855778589845,0.9991612434387207,-11.285178184509277,-0.032192036509513855,-0.05504301190376282,-0.001885249512270093,1.9497820176184177e-05,-0.0016703204018995166,-0.00027555227279663086,0.00632210960611701,0.00014400482177734375,-0.0012282119132578373,0.00014009539154358208,6.940148887224495e-05
4.279999999999953,323.250732421875,-3.9624788761138916,-269.9148864746094,-0.0010465270606800914,0.04093008488416672,-0.0004034039448015392,0.999161422252655,-11.28522777557373,-0.03101271763443947,-0.05502297729253769,-0.0015163320349529386,1.8178832760895602e-05,-0.0016261297278106213,-0.0002467036247253418,0.008704216219484806,0.0001163482666015625,0.004957335069775581,0.00028401921736076474,0.0003482976171653718
