,x,y,z_pos,w_or,x_or,y_or,z_or,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,x_lin_acc,y_lin_acc,z_lin_acc,x_ang_acc,y_ang_acc,z_ang_acc,UAS id,UAS Relative time,UAS relative time,"z_pos,w_or,x_or,y_or,z_or,x_lin_vel,y_lin_vel,z_lin_vel,x_ang_vel,y_ang_vel,z_ang_vel,x_lin_acc,y_lin_acc,z_lin_acc,x_ang_acc,y_ang_acc,z_ang_acc"
91.0,634.5918579101562,416.0863952636719,-269.70050048828125,0.9991450905799866,-0.0008075583609752357,-0.041267085820436485,-0.002356915036216378,11.279939651489258,-0.042816098779439926,-0.059779003262519836,0.005283978767693043,0.0011313861468806865,0.0020335721783339977,0.007270872592926025,-0.0140943955630064,0.005795478820800781,-0.0012924585025757553,-0.002254542196169496,0.001473764656111598,6,91.0,,
92.0,645.156982421875,416.0483093261719,-269.75762939453125,0.9991579055786132,0.0006060412852093577,-0.04100454226136208,-0.001333082909695804,11.283562660217285,-0.040768418461084366,-0.056583750993013375,0.0015767627628520133,0.00023540551774203775,0.0019340901635587211,0.001843035221099853,0.012899766676127909,0.001836776733398437,-0.0009803562425076964,-0.0002677013399079442,0.00012754337512888014,6,92.0,,
93.0,655.4887084960938,416.0168762207031,-269.80868530273443,0.9991607666015624,0.0008889164309948682,-0.040948480367660516,-0.0004889543051831424,11.284584045410154,-0.0255240797996521,-0.05553509294986725,0.00010707601177273318,5.852448521181941e-05,0.0014000654919072983,0.0006622076034545897,0.017811179161071774,0.0006647109985351562,0.001569590182043612,-1.4687865586893167e-05,-0.0005703175556845963,6,93.0,,
94.0,665.1090698242188,416.0018615722656,-269.85202026367193,0.9991616010665894,0.0006801686831749977,-0.04093470424413681,-5.460654574562796e-05,11.284961700439453,-0.011927610263228416,-0.05515746772289276,-0.0008078552200458944,1.3060377568763215e-05,0.0007341332384385169,0.00035780668258666987,0.01339813694357872,0.0002727508544921875,0.00109521031845361,4.021096901851706e-05,-0.0011294144205749035,6,94.0,,
95.0,675.8134155273438,415.9955749511719,-269.90023803710943,0.9991620779037476,0.00035033418680541223,-0.04092726483941078,0.00013852409028913826,11.285263061523438,-0.002425658283755183,-0.054984662681818015,-0.0007675548549741508,2.630445123941172e-05,0.0001770949165802449,0.000179290771484375,0.0067772027105093,0.00012683868408203125,0.0009444559691473842,4.064158201799728e-05,-0.0011607209453359244,6,95.0,,
96.0,685.806396484375,415.9955749511719,-269.9452514648437,0.9991623163223268,0.00020577400573529303,-0.040921710431575775,0.00019500343478284776,11.285283088684082,0.0017546095186844466,-0.054918739944696426,0.00011949712643399836,1.2764036910084544e-05,0.00040227791760116816,7.492303848266602e-05,0.0038735973648726936,4.1961669921875e-05,0.002434308174997568,-0.00011485598224680872,0.0008523446158505976,6,96.0,,
0.0,290.0248107910156,450.0026550292969,-90.00648498535156,0.9999608397483826,0.005939632654190064,-0.006558849476277828,-0.0002751676656771451,2.7584753036499023,0.2937891483306885,-0.7121182680130005,1.6158510446548462,-1.935410022735596,-0.05931967124342919,0.012656036764383316,0.05717983469367027,1.9161920547485352,64.00237274169922,-108.8532943725586,0.4334960877895355,59,0.0,,
1.0,290.4843444824219,448.942626953125,-90.87492370605469,0.6722516417503357,-0.3056176602840424,0.0528022050857544,-0.672225832939148,-3.0279812812805176,-2.9306113719940186,-1.5192054510116575,-0.18254290521144867,-0.3386569321155548,-2.379242181777954,-6.7407402992248535,-4.734525203704834,-1.5491189956665041,-2.9323322772979736,3.2193300724029537,-0.4724550545215607,59,1.0,,
2.0,284.6080322265625,444.9126586914063,-91.94756317138672,-0.12291213870048524,-0.2642524242401123,0.20412081480026245,-0.9345576763153076,-8.677194595336914,-3.4931182861328125,-0.4765677452087402,-1.255520224571228,0.2273917943239212,-0.0792517215013504,-5.908741474151611,6.39522647857666,-1.1259174346923828,9.360469818115234,1.8010523319244385,-0.8742099404335022,59,2.0,,
3.0,275.70156860351557,444.7312927246094,-92.37468719482422,-0.7566484212875366,-0.06507764756679535,0.35527515411376953,-0.5450024604797363,-7.916593551635742,3.3539049625396733,-0.40657293796539307,-0.7330133318901062,0.551744818687439,-1.1003355979919434,5.275078773498535,4.890833377838135,2.2360658645629883,15.48852252960205,-0.9922115802764891,5.270782947540283,59,3.0,,
4.0,271.0052490234375,450.3302917480469,-92.68810272216795,-0.7353945970535278,-0.03269822895526886,0.318549245595932,-0.5972035527229309,-1.651673674583435,8.332127571105957,-0.5998911857604979,0.21066057682037356,0.34343764185905457,-0.3317813277244568,5.962239265441895,5.590214729309082,-1.1637287139892578,-0.1004234254360199,1.130740523338318,-1.0936492681503296,59,4.0,,
5.0,271.18228149414057,460.1719665527344,-92.8569793701172,-0.7675431370735168,-0.010783275589346886,0.11326508969068527,-0.6308187246322632,1.1892329454421997,10.571937561035156,0.7667664289474487,0.2176259607076645,0.1874762326478958,0.13942232728004456,1.326306700706482,0.7424065470695496,0.9040498733520508,-0.16629301011562347,-0.3633551895618439,-0.6296414136886597,59,5.0,,
6.0,272.67123413085943,470.4561767578125,-91.9993133544922,-0.7580136656761169,-0.03652597963809967,0.03625936061143875,-0.6502048969268799,1.7222596406936646,10.97955322265625,0.8678099513053894,0.08766862004995346,0.033771511167287833,0.06918416172266006,-0.0440959632396698,0.2417973875999451,-0.2592582702636719,-0.08191759139299393,-0.059367381036281586,0.07883317023515701,59,6.0,,
7.0,274.23956298828125,481.3520202636719,-91.2828140258789,-0.7360585927963257,-0.04943224787712097,0.014451856724917887,-0.6749559044837952,1.3869832754135132,11.146736145019533,0.588927686214447,0.0243331715464592,0.00829318817704916,0.05574946850538254,-0.5282034277915955,0.11706286668777464,-0.23515987396240234,-0.30166423320770264,-0.01294863037765026,-0.003997691906988621,59,7.0,,
8.0,275.33688354492193,492.4347534179688,-90.81427764892578,-0.7185207605361938,-0.049468930810689926,0.011560378596186638,-0.6936477422714233,0.8273250460624695,11.231462478637695,0.372441291809082,-0.006995534989982843,0.004038871265947819,0.04147778451442719,-0.550613522529602,0.05586892366409302,-0.1781148910522461,-0.016539696604013443,-0.002395771211013198,-0.02225697599351406,59,8.0,,
9.0,275.90008544921875,503.26959228515625,-90.52660369873048,-0.7084529399871826,-0.0433381162583828,0.016098599880933758,-0.7042422294616699,0.3691814243793488,11.265064239501953,0.23465509712696075,-0.01827759295701981,0.0019790469668805604,0.020862743258476257,-0.3853244185447693,0.017483949661254883,-0.10371112823486328,-0.10526826232671738,-0.005292863585054874,-0.02217303030192852,59,9.0,,
10.0,276.1044921875,514.26904296875,-90.50257110595705,-0.7045809626579285,-0.03597785159945488,0.02225620113313198,-0.7083614468574524,0.08877018094062805,11.273330688476562,0.0428626611828804,-0.010558966547250748,-0.023226318880915642,0.005638469476252793,-0.11223410069942474,-0.3281739354133606,3.8667654991149902,-0.0486244298517704,-0.02048375830054283,-0.009474841877818108,59,10.0,,
11.0,276.12359619140625,525.325927734375,-90.49755859375,-0.7041512727737427,-0.031762249767780304,0.0272431168705225,-0.70881587266922,-0.02715743333101273,11.259968757629395,0.15058523416519165,-0.009262653067708015,-0.008318380452692509,-0.0009828571928665042,-0.047524362802505486,-0.15535253286361694,1.8903646469116209,0.04388543963432312,0.018611198291182518,-0.0032366863451898102,59,11.0,,
